apt_name,city,deal_amount,exclusive_area,floor,deal_year,deal_month,deal_day,build_year,regional_code,cancel_date,is_cancelled
브라운스톤역삼,역삼동,"111,000",,6,2026,4,5,2004,11680, ,True
대치SKVIEW,대치동,"370,000",,2,2026,4,8,2017,11680, ,True
삼성풍림2차아파트,삼성동,"148,200",,12,2026,4,2,1998,11680, ,True
대우디오빌,역삼동,"70,000",,23,2026,4,7,2002,11680, ,True
삼익대청아파트,개포동,"215,000",,12,2026,4,6,1992,11680, ,True
역삼I'PARK,역삼동,"98,000",,12,2026,4,6,2006,11680, ,True
삼성풍림2차아파트,삼성동,"148,200",,12,2026,4,2,1998,11680,26.04.08,True
삼성청담아파트,청담동,"198,000",,18,2026,4,3,1999,11680, ,True
까치마을,수서동,"137,500",,3,2026,4,4,1993,11680, ,True
강남한양수자인(4단지),자곡동,"215,000",,3,2026,4,3,2014,11680, ,True
한양수자인어반게이트,논현동,"18,000",,9,2026,4,2,2013,11680, ,True
청담자이,청담동,"284,000",,21,2026,4,1,2011,11680, ,True
디에이치포레센트,일원동,"300,000",,4,2026,4,3,2021,11680, ,True
신반포16,잠원동,"207,119",,7,2026,4,3,1983,11650, ,True
서초5차e편한세상,서초동,"258,000",,13,2026,4,6,2005,11650, ,True
서초동삼성쉐르빌2,서초동,"25,000",,3,2026,4,7,2002,11650, ,True
대우아이빌,잠원동,"67,800",,9,2026,4,4,2001,11650, ,True
힐스테이트서초젠트리스,신원동,"200,000",,6,2026,4,4,2014,11650, ,True
아크로리버파크,반포동,"850,000",,15,2026,4,1,2016,11650, ,True
파크리오,신천동,"275,000",,7,2026,4,8,2008,11710, ,True
올림픽선수기자촌2단지,방이동,"370,000",,1,2026,4,9,1988,11710, ,True
올림픽훼밀리타운,문정동,"320,000",,3,2026,4,9,1988,11710, ,True
파크리오,신천동,"239,000",,3,2026,4,6,2008,11710, ,True
트리지움,잠실동,"313,000",,18,2026,4,6,2007,11710, ,True
트리지움,잠실동,"269,000",,16,2026,4,7,2007,11710, ,True
헬리오시티,가락동,"271,000",,17,2026,4,3,2018,11710, ,True
헬리오시티,가락동,"269,000",,1,2026,4,8,2018,11710, ,True
광명아파트,방이동,"80,000",,6,2026,4,8,2007,11710, ,True
송파레미니스,오금동,"175,000",,15,2026,4,8,2017,11710, ,True
가락미륭아파트,가락동,"186,000",,5,2026,4,8,1986,11710, ,True
현대리버빌2지구,풍납동,"71,000",,5,2026,4,8,1999,11710, ,True
리센츠,잠실동,"335,000",,28,2026,4,4,2008,11710, ,True
문정시영,문정동,"105,000",,9,2026,4,1,1989,11710, ,True
상아2차아파트,오금동,"134,500",,11,2026,4,7,1988,11710, ,True
잠실엘스,잠실동,"310,000",,9,2026,4,6,2008,11710, ,True
토성현대,풍납동,"84,300",,9,2026,4,7,1986,11710, ,True
리센츠,잠실동,"336,000",,22,2026,4,7,2008,11710, ,True
잠실엘스,잠실동,"310,000",,19,2026,4,4,2008,11710, ,True
대림,가락동,"100,000",,12,2026,4,6,1988,11710, ,True
현대백조,오금동,"66,000",,2,2026,4,4,1997,11710, ,True
올림픽선수기자촌1단지,방이동,"280,000",,1,2026,4,6,1988,11710, ,True
엘리시움아파트,오금동,"84,000",,9,2026,4,4,2017,11710, ,True
거여4단지,거여동,"139,000",,11,2026,4,5,1997,11710, ,True
문정시영,문정동,"106,000",,9,2026,4,4,1989,11710, ,True
파크리오,신천동,"287,000",,4,2026,4,3,2008,11710, ,True
레이크팰리스,잠실동,"402,000",,13,2026,4,3,2006,11710, ,True
주성파크뷰,문정동,"56,500",,2,2026,4,3,2003,11710, ,True
한신잠실코아,신천동,"137,000",,12,2026,4,1,1988,11710, ,True
헬리오시티,가락동,"315,000",,16,2026,4,2,2018,11710, ,True
리센츠,잠실동,"350,000",,11,2026,4,3,2008,11710, ,True
잠실엘스,잠실동,"336,000",,15,2026,4,2,2008,11710, ,True
올림픽선수기자촌3단지,방이동,"300,000",,10,2026,4,2,1988,11710, ,True
올림픽카운티,방이동,"61,000",,9,2026,4,1,2003,11710, ,True
그린아파트,가락동,"50,700",,8,2026,4,2,1996,11710, ,True
송파파크데일1단지,마천동,"137,000",,9,2026,4,1,2011,11710, ,True
코오롱아파트,방이동,"200,000",,10,2026,4,1,1991,11710, ,True
거여4단지,거여동,"126,000",,2,2026,4,1,1997,11710, ,True
판교퍼스트힐푸르지오A2,대장동,"119,500",,12,2026,4,9,2021,41135, ,True
더샵분당파크리버,정자동,"164,400",,31,2026,4,7,2021,41135, ,True
청솔마을(동아),금곡동,"140,000",,12,2026,4,1,1995,41135, ,True
효자촌(럭키),서현동,"62,000",,7,2026,4,2,1994,41135, ,True
양지마을(5단지)(한양501-514),수내동,"117,500",,3,2026,4,2,1992,41135, ,True
SK-VIEW,야탑동,"93,000",,17,2026,4,3,2003,41135, ,True
한솔마을(6단지)(주공),정자동,"103,000",,8,2026,4,3,1995,41135, ,True
양지마을(5단지)(한양501-514),수내동,"117,000",,5,2026,4,3,1992,41135, ,True
한솔마을(5단지)(주공),정자동,"165,000",,7,2026,4,2,1994,41135, ,True
시범현대,서현동,"195,000",,24,2026,4,2,1991,41135, ,True
청솔마을(주공9단지),금곡동,"82,100",,13,2026,4,1,1995,41135, ,True
이매촌(진흥),이매동,"152,000",,2,2026,4,1,1993,41135, ,True
그대가프리미어,망포동,"100,000",,11,2026,4,10,2010,41117, ,True
벽적골9단지주공,영통동,"60,000",,10,2026,4,10,1999,41117, ,True
신나무실휴먼시아5단지,영통동,"35,000",,7,2026,4,10,1997,41117, ,True
광교모아엘가레이크뷰,하동,"86,500",,14,2026,4,10,2014,41117, ,True
신나무실풍림,영통동,"72,500",,8,2026,4,10,2000,41117, ,True
원천레이크파크,원천동,"34,200",,14,2026,4,9,1999,41117, ,True
망포역아이파크,망포동,"65,000",,18,2026,4,10,2002,41117, ,True
현대,매탄동,"44,700",,12,2026,4,9,1989,41117, ,True
영통하우스토리,영통동,"89,000",,8,2026,4,9,2008,41117, ,True
벽적골한신,영통동,"51,000",,15,2026,4,9,1997,41117, ,True
삼성1,매탄동,"24,500",,1,2026,4,9,1988,41117, ,True
