apartment,price,floor,area,dong,deal_date
강남데시앙파크,110000,2,,세곡동,2024-01-31
"쌍용대치아파트1동,2동,3동,5동,6동",308000,4,,대치동,2024-01-23
수서,92000,9,,일원동,2024-01-30
래미안 개포 루체하임,185000,9,,일원동,2024-01-23
디에이치아너힐즈,219000,17,,개포동,2024-01-30
네오빌,240000,1,,논현동,2024-01-31
네오빌,240000,1,,논현동,2024-01-31
네오빌,210000,1,,논현동,2024-01-31
네오빌,245000,2,,논현동,2024-01-31
네오빌,245000,2,,논현동,2024-01-31
네오빌,210000,2,,논현동,2024-01-31
네오빌,245000,3,,논현동,2024-01-31
네오빌,245000,3,,논현동,2024-01-31
네오빌,215000,3,,논현동,2024-01-31
네오빌,240000,4,,논현동,2024-01-31
네오빌,235000,4,,논현동,2024-01-31
네오빌,210000,4,,논현동,2024-01-31
네오빌,720000,5,,논현동,2024-01-31
네오빌,440000,6,,논현동,2024-01-31
아이파크,618000,32,,삼성동,2024-01-31
현대아인빌,163000,4,,신사동,2024-01-30
개포주공7단지,175000,5,,개포동,2024-01-31
강남자곡아이파크,113500,2,,자곡동,2024-01-10
래미안블레스티지,200000,9,,개포동,2024-01-27
개포우성2,287000,3,,대치동,2024-01-26
EGSoulLeader,20000,7,,역삼동,2024-01-25
한보미도맨션2,274000,11,,대치동,2024-01-26
선경1차(1동-7동),340000,8,,대치동,2024-01-29
삼성청담공원아파트,210000,14,,청담동,2024-01-26
까치마을,119500,15,,수서동,2024-01-29
개포우성2,375000,8,,대치동,2024-01-24
개포주공7단지,175000,5,,개포동,2024-01-31
수서,92000,9,,일원동,2024-01-30
"현대6차(78~81,83,84,86,87동)",650000,3,,압구정동,2024-01-25
래미안도곡카운티,230000,7,,도곡동,2024-01-28
강남데시앙포레,156000,8,,수서동,2024-01-28
현대삼성동1차,258000,6,,삼성동,2024-01-29
도곡렉슬,282000,20,,도곡동,2024-01-19
개나리푸르지오,263000,9,,역삼동,2024-01-30
현대2,282000,1,,개포동,2024-01-19
역삼I'PARK,82000,13,,역삼동,2024-01-24
역삼래미안,190000,7,,역삼동,2024-01-22
강남데시앙포레,166000,7,,수서동,2024-01-23
현대아파트3,260000,6,,개포동,2024-01-20
타워팰리스1,481000,53,,도곡동,2024-01-29
성원대치2단지아파트,97000,4,,개포동,2024-01-30
푸른마을아파트101동~111동,135500,5,,일원동,2024-01-30
강남데시앙파크,110000,2,,세곡동,2024-01-31
논현베르빌,133500,8,,논현동,2024-01-31
신동아,92000,4,,수서동,2024-01-27
까치마을,120000,15,,수서동,2024-01-21
한보미도맨션1,400000,1,,대치동,2024-01-17
e-편한세상,197000,13,,역삼동,2024-01-27
논현한가람빌라트,148500,8,,논현동,2024-01-23
청담동삼성1차(101동),159000,11,,청담동,2024-01-16
개포래미안포레스트,220000,10,,개포동,2024-01-17
개포한신,193500,3,,일원동,2024-01-17
성원대치2단지아파트,116000,8,,개포동,2024-01-17
개포주공7단지,190000,11,,개포동,2024-01-24
푸른마을아파트101동~111동,137500,6,,일원동,2024-01-31
삼성청담아파트,262000,12,,청담동,2024-01-26
리치타워,69000,3,,역삼동,2024-01-05
역삼래미안,190000,11,,역삼동,2024-01-13
강남엘에이치1단지,132000,3,,세곡동,2024-01-13
역삼래미안,187500,22,,역삼동,2024-01-27
"대치우성아파트1동,2동,3동,5동,6동,7동",240000,6,,대치동,2024-01-29
디에이치아너힐즈,209500,16,,개포동,2024-01-18
선경2차(8동-12동),388000,11,,대치동,2024-01-25
가람,200000,1,,일원동,2024-01-23
삼성동힐스테이트 1단지,102600,7,,삼성동,2024-01-26
래미안블레스티지,195000,9,,개포동,2024-01-28
까치마을,91000,14,,수서동,2024-01-25
강남브리즈힐(토지임대부아파트),104000,10,,자곡동,2024-01-27
성원대치2단지아파트,114500,12,,개포동,2024-01-27
한양3,400000,7,,압구정동,2024-01-24
역삼래미안,185000,13,,역삼동,2024-01-11
대우디오빌,80000,21,,역삼동,2024-01-18
삼성동한솔아파트,140000,5,,삼성동,2024-01-22
호원빌라,460000,4,,청담동,2024-01-31
래미안그레이튼,234000,4,,역삼동,2024-01-25
삼성,178000,6,,수서동,2024-01-18
경남2차,340000,10,,개포동,2024-01-25
선경1차(1동-7동),397000,12,,대치동,2024-01-17
청담자이,200000,18,,청담동,2024-01-31
래미안블레스티지,161000,12,,개포동,2024-01-15
신현대11차,418000,12,,압구정동,2024-01-18
청담자이,175000,5,,청담동,2024-01-17
삼성,181000,12,,도곡동,2024-01-23
한보미도맨션1,280000,10,,대치동,2024-01-20
푸른마을아파트101동~111동,147000,9,,일원동,2024-01-17
선경1차(1동-7동),390000,4,,대치동,2024-01-29
현대까르띠에710,322000,21,,역삼동,2024-01-12
도곡렉슬,184000,16,,도곡동,2024-01-13
이니그마빌-III,570000,7,,도곡동,2024-01-10
개포래미안포레스트,187000,29,,개포동,2024-01-09
신동아,89000,5,,수서동,2024-01-23
현대비젼21,48000,27,,도곡동,2024-01-27
디에이치아너힐즈,212500,26,,개포동,2024-01-10
대치르엘,205000,5,,대치동,2024-01-12
한신(개포),225000,7,,도곡동,2024-01-11
종로청계힐스테이트,101300,13,,숭인동,2024-01-19
인왕산아이파크,101000,11,,무악동,2024-01-29
경희궁자이(2단지),200000,4,,홍파동,2024-01-22
현대뜨레비앙,42000,2,,익선동,2024-01-30
일성빌라트,70500,3,,평창동,2024-01-27
롯데캐슬로잔,135000,1,,평창동,2024-01-22
경희궁자이(2단지),195000,12,,홍파동,2024-01-18
무악다온채,39000,9,,무악동,2024-01-29
경희궁자이(2단지),156000,9,,홍파동,2024-01-24
경희궁자이(3단지),200000,14,,평동,2024-01-27
송림아마레스아파트,57400,5,,명륜1가,2024-01-26
종로청계힐스테이트,80000,11,,숭인동,2024-01-27
종로청계힐스테이트,101300,13,,숭인동,2024-01-19
CS타워,17200,7,,충신동,2024-01-13
CS타워,16750,10,,충신동,2024-01-06
종로센트레빌,95000,2,,숭인동,2024-01-19
경희궁의아침3단지,192000,4,,내수동,2024-01-13
리치캐슬아파트,46000,4,,명륜1가,2024-01-04
삼전솔하임4차,13500,15,,숭인동,2024-01-09
