apartment,dong,price,area,floor,bonbeon,bubeon,region
브라운스톤역삼,역삼동,"111,000",,6,747-5,0005,서울_강남구
대치SKVIEW,대치동,"370,000",,2,1029,0000,서울_강남구
삼성풍림2차아파트,삼성동,"148,200",,12,104,0000,서울_강남구
대우디오빌,역삼동,"70,000",,23,720-25,0025,서울_강남구
삼익대청아파트,개포동,"215,000",,12,12,0000,서울_강남구
역삼I'PARK,역삼동,"98,000",,12,713-11,0011,서울_강남구
삼성풍림2차아파트,삼성동,"148,200",,12,104,0000,서울_강남구
삼성청담아파트,청담동,"198,000",,18,42,0000,서울_강남구
까치마을,수서동,"137,500",,3,746,0000,서울_강남구
강남한양수자인(4단지),자곡동,"215,000",,3,686,0000,서울_강남구
한양수자인어반게이트,논현동,"18,000",,9,221-7,0007,서울_강남구
청담자이,청담동,"284,000",,21,134-38,0038,서울_강남구
디에이치포레센트,일원동,"300,000",,4,742,0000,서울_강남구
신반포16,잠원동,"207,119",,7,55-12,0012,서울_서초구
서초5차e편한세상,서초동,"258,000",,13,1467-62,0062,서울_서초구
서초동삼성쉐르빌2,서초동,"25,000",,3,1330,0000,서울_서초구
대우아이빌,잠원동,"67,800",,9,42-13,0013,서울_서초구
힐스테이트서초젠트리스,신원동,"200,000",,6,557,0000,서울_서초구
아크로리버파크,반포동,"850,000",,15,2-12,0012,서울_서초구
파크리오,신천동,"275,000",,7,17,0000,서울_송파구
올림픽선수기자촌2단지,방이동,"370,000",,1,89,0000,서울_송파구
올림픽훼밀리타운,문정동,"320,000",,3,150,0000,서울_송파구
파크리오,신천동,"239,000",,3,17,0000,서울_송파구
트리지움,잠실동,"313,000",,18,35,0000,서울_송파구
트리지움,잠실동,"269,000",,16,35,0000,서울_송파구
헬리오시티,가락동,"271,000",,17,913,0000,서울_송파구
헬리오시티,가락동,"269,000",,1,913,0000,서울_송파구
광명아파트,방이동,"80,000",,6,120-2,0002,서울_송파구
송파레미니스,오금동,"175,000",,15,616,0000,서울_송파구
가락미륭아파트,가락동,"186,000",,5,138,0000,서울_송파구
현대리버빌2지구,풍납동,"71,000",,5,261,0000,서울_송파구
리센츠,잠실동,"335,000",,28,22,0000,서울_송파구
문정시영,문정동,"105,000",,9,145,0000,서울_송파구
상아2차아파트,오금동,"134,500",,11,165,0000,서울_송파구
잠실엘스,잠실동,"310,000",,9,19,0000,서울_송파구
토성현대,풍납동,"84,300",,9,251-2,0002,서울_송파구
리센츠,잠실동,"336,000",,22,22,0000,서울_송파구
잠실엘스,잠실동,"310,000",,19,19,0000,서울_송파구
대림,가락동,"100,000",,12,70-19,0019,서울_송파구
현대백조,오금동,"66,000",,2,11,0000,서울_송파구
올림픽선수기자촌1단지,방이동,"280,000",,1,89,0000,서울_송파구
엘리시움아파트,오금동,"84,000",,9,26-2,0002,서울_송파구
거여4단지,거여동,"139,000",,11,293,0000,서울_송파구
문정시영,문정동,"106,000",,9,145,0000,서울_송파구
파크리오,신천동,"287,000",,4,17,0000,서울_송파구
레이크팰리스,잠실동,"402,000",,13,44,0000,서울_송파구
주성파크뷰,문정동,"56,500",,2,56-6,0006,서울_송파구
한신잠실코아,신천동,"137,000",,12,11-9,0009,서울_송파구
헬리오시티,가락동,"315,000",,16,913,0000,서울_송파구
리센츠,잠실동,"350,000",,11,22,0000,서울_송파구
잠실엘스,잠실동,"336,000",,15,19,0000,서울_송파구
올림픽선수기자촌3단지,방이동,"300,000",,10,89,0000,서울_송파구
올림픽카운티,방이동,"61,000",,9,51-4,0004,서울_송파구
그린아파트,가락동,"50,700",,8,1-7,0007,서울_송파구
송파파크데일1단지,마천동,"137,000",,9,582,0000,서울_송파구
코오롱아파트,방이동,"200,000",,10,212-8,0008,서울_송파구
거여4단지,거여동,"126,000",,2,293,0000,서울_송파구
